signal,btc,usdt,time,price,quantity,commission,fillsLength
0,0,15,,,,0,1
1,0.00059,0.420829,1676931792000.00,24710.46,0.00059,0,1
-1,0,15.0157239,1676932523000.00,24737.11,0.00059,0,1
1,0.0006,0.1905939,1676932821693.00,24708.55,0.0006,0,1
-1,0,15.0872139,1676937712084.00,24827.7,0.0006,0,1
1,0.0006,0.1523499,1676955690439.00,24891.44,0.0006,0,1
-1,0,15.1288419,1676959313144.00,24960.82,0.0006,0,1
1,0.00061,0.0581087,1676970069062.00,24706.12,0.00061,0,1
-1,0,15.1197956,1676991654841.00,24691.29,0.00061,0,1
1,0.00061,0.1390934,1676995260708.00,24558.46,0.00061,0,2
-1,0,15.1758801,1677002481746.00,24650.47,0.00061,0,1
1,0.00061,0.1745649,1677009655455.00,24592.32,0.00061,0,1
-1,0,15.0876192,1677024134157.00,24447.63,0.00061,0,1
1,0.00061,0.1943655,1677025352564.00,24415.17,0.00061,0,1
-1,0,14.9031735,1677060095285.00,24112.8,0.00061,0,1
1,0.00061,0.2020515,1677074456422.00,24100.2,0.00061,0,1
-1,0.0,14.7023066,1677092455126,23770.91000000,0.00061000,0.00000000,1
1,0.00061,0.19729959999999913,1677096060933,23778.70000000,0.00061000,0.00000000,1
-1,0.0,14.7281096,1677099662018,23821.00000000,0.00061000,0.00000000,1
1,0.0006,0.09322760000000052,1677135675009,24391.47000000,0.00060000,0.00000000,1
-1,0.0,14.7380636,1677142854603,24408.06000000,0.00060000,0.00000000,1
1,0.0006,0.16328359999999975,1677146455041,24291.30000000,0.00060000,0.00000000,1
-1,0.0,14.5934156,1677160858492,24050.22000000,0.00060000,0.00000000,1
1,0.0006,0.17690359999999927,1677164458487,24027.52000000,0.00060000,0.00000000,1
-1,0.0,14.570861599999999,1677182460201,23989.93000000,0.00060000,0.00000000,1
1,0.0006,0.2334656000000006,1677189675450,23895.66000000,0.00060000,0.00000000,1
-1,0.0,14.5872542,1677196920509,23923.38000000,0.00060000,0.00000000,2
1,0.0006,0.22993819999999943,1677207705751,23928.86000000,0.00060000,0.00000000,1
-1,0.0,14.6045462,1677211257888,23957.68000000,0.00060000,0.00000000,1
1,0.00061,0.002306700000000106,1677214889525,23938.09000000,0.00061000,0.00000000,2
-1,0.0,14.585332600000001,1677229257192,23906.65000000,0.00061000,0.00000000,2
1,0.00061,0.051289599999998714,1677232855441,23826.30000000,0.00061000,0.00000000,1
-1,0.0,14.625488899999999,1677240082601,23892.13000000,0.00061000,0.00000000,1
1,0.00061,0.10737910000000106,1677247255304,23800.18000000,0.00061000,0.00000000,1
-1,0.0,14.251796800000001,1677283327208,23187.57000000,0.00061000,0.00000000,1
1,0.00061,0.1251971999999988,1677286881818,23158.36000000,0.00061000,0.00000000,1
-1,0.0,14.267357899999999,1677290475513,23183.87000000,0.00061000,0.00000000,1
1,0.00061,0.18608009999999986,1677294117173,23084.06000000,0.00061000,0.00000000,2
-1,0.0,14.2911101,1677301298442,23123.00000000,0.00061000,0.00000000,1
1,0.00062,0.003693699999999467,1677304915417,23044.22000000,0.00062000,0.00000000,1
-1,0.0,14.3351549,1677312084577,23115.26000000,0.00062000,0.00000000,1
1,0.00062,0.03965369999999879,1677319255709,23057.26000000,0.00062000,0.00000000,1
-1,0.0,14.3102185,1677330060449,23017.04000000,0.00062000,0.00000000,1
1,0.00062,0.04324429999999957,1677333656820,23011.21000000,0.00062000,0.00000000,2
-1,0.0,14.310578999999999,1677340861873,23011.84000000,0.00062000,0.00000000,2
1,0.00062,0.058366200000000035,1677351655375,22987.44000000,0.00062000,0.00000000,1
-1,0.0,14.3928478,1677366088273,23120.18000000,0.00062000,0.00000000,2
1,0.00062,0.04777140000000024,1677391320637,23137.22000000,0.00062000,0.00000000,2
-1,0.0,14.417647800000001,1677394875205,23177.22000000,0.00062000,0.00000000,1
1,0.00062,0.06392859999999878,1677398480013,23151.16000000,0.00062000,0.00000000,1
-1,0.0,14.426768,1677402056871,23165.87000000,0.00062000,0.00000000,1
1,0.00062,0.06334579999999868,1677416464645,23166.81000000,0.00062000,0.00000000,2
-1,0.0,14.454047999999998,1677420059508,23210.81000000,0.00062000,0.00000000,1
1,0.00061,0.1713066999999988,1677794466681,23414.33000000,0.00061000,0.00000000,1
-1,0.0,14.484413799999999,1677798070421,23464.11000000,0.00061000,0.00000000,1
1,0.00061,0.19954970000000039,1677805290581,23417.81000000,0.00061000,0.00000000,1
-1,0.0,13.88504,1677834059700,22435.23000000,0.00061000,0.00000000,1
1,0.00062,0.018051800000000284,1677837659644,22366.11000000,0.00062000,0.00000000,1
-1,0.0,13.9003912,1677852059929,22390.87000000,0.00062000,0.00000000,1
1,0.00062,0.03425239999999974,1677855655866,22364.74000000,0.00062000,0.00000000,1
-1,0.0,13.9151162,1677862874177,22388.49000000,0.00062000,0.00000000,1
1,0.00062,0.08731200000000072,1677870061581,22302.91000000,0.00062000,0.00000000,1
-1,0.0,13.9528618,1677873659068,22363.79000000,0.00062000,0.00000000,1
1,0.00062,0.1351450000000014,1677877263523,22286.64000000,0.00062000,0.00000000,1
-1,0.0,13.985201000000002,1677884483498,22338.80000000,0.00062000,0.00000000,1
1,0.00062,0.1357898000000013,1677898918326,22337.76000000,0.00062000,0.00000000,1
-1,0.0,13.9894542,1677902473337,22344.62000000,0.00062000,0.00000000,1
1,0.00062,0.1384124,1677906100315,22340.39000000,0.00062000,0.00000000,1
